"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME"
"222191_s_at",-2.05249254423112,6.11296976981032,-5.38248454289362,2.61535778601182e-07,3.34560019727872e-05,6.59418188534788,"B4GALT7","11285","beta-1,4-galactosyltransferase 7"
"209444_at",-1.848315129087,9.91361846721967,-5.38123374932096,2.6307554582641e-07,3.35677736334099e-05,6.58864924690078,"RAP1GDS1","5910","Rap1 GTPase-GDP dissociation stimulator 1"
"200897_s_at",1.9586847208235,9.1916656680683,5.37715026003667,2.68164234663292e-07,3.41306706850116e-05,6.57059282210712,"PALLD","23022","palladin, cytoskeletal associated protein"
"225912_at",2.29100565673722,7.49386393511331,5.37651569751137,2.68963569369306e-07,3.41461784881168e-05,6.56778774202479,"TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"223058_at",2.31867168467817,7.92189752397992,5.3745292222252,2.71480905476183e-07,3.437916863544e-05,6.55900799467915,"FAM107B","83641","family with sequence similarity 107 member B"
"217969_at",-1.84356156502138,9.49684577688704,-5.37101738361341,2.75987553535733e-07,3.48622774079059e-05,6.54349190513503,"VPS51","738","VPS51 subunit of GARP complex"
"237040_at",1.77311385366068,8.23179430865226,5.37040749857861,2.76777600478117e-07,3.48746696042439e-05,6.54079799977618,"CWF19L2","143884","CWF19 like cell cycle control factor 2"
"212484_at",-2.3439208671133,6.63805731360052,-5.36745119088696,2.80638563873867e-07,3.52729781990194e-05,6.52774273066942,"FAM89B","23625","family with sequence similarity 89 member B"
"222620_s_at",1.71088643419183,10.2336118945682,5.36087197757697,2.89420473957784e-07,3.62862719103141e-05,6.49870602144826,"DNAJC1","64215","DnaJ heat shock protein family (Hsp40) member C1"
"211538_s_at",2.16288459688576,9.23705742223365,5.36025945708938,2.90251563962765e-07,3.63001714026981e-05,6.49600395749862,"HSPA2","3306","heat shock protein family A (Hsp70) member 2"
"207789_s_at",-1.79716258721604,10.3579602328443,-5.3592691499594,2.91600172091733e-07,3.63785650336521e-05,6.49163577626154,"DPP6","1804","dipeptidyl peptidase like 6"
